,Date,Github,Linkedin,Youtube,Stackoverflow
0,2020/11/22,120,84,29,8
1,2020/12/31,128,120,35,10
2,2021/01/30,132,131,39,13
3,2021/02/28,142,164,51,14
4,2021/03/31,159,209,61,15
5,2021/04/30,162,240,69,15
6,2021/05/31,164,258,80,18
7,2021/06/30,164,264,88,18
8,2021/07/31,170,272,91,18
9,2021/08/31,170,272,98,18
10,2021/09/30,171,275,103,18
11,2021/10/03,171,275,103,18
12,2021/10/08,171,278,105,18
13,2021/10/22,170,281,106,18
14,2021/10/26,170,281,106,18
15,2021/11/13,170,303,113,19
16,2021/11/22,171,310,115,19
17,2021/11/27,174,310,116,19
18,2021/12/04,174,311,121,19
19,2021/12/13,174,313,121,19
20,2021/12/24,176,314,122,19
21,2022/01/04,176,314,124,19
22,2022/01/15,180,314,127,19
23,2022/01/28,184,318,129,19
24,2022/02/05,187,318,130,18
25,2022/02/06,188,318,130,18
26,2022/02/11,189,319,131,18
27,2022/02/27,191,325,133,18
28,2022/03/04,193,351,134,18
29,2022/03/11,194,359,135,18
30,2022/03/18,196,364,138,18
31,2022/03/28,197,371,138,18
32,2022/04/01,198,373,138,18
33,2022/04/11,199,377,139,18
34,2022/04/18,201,379,139,19
35,2022/04/25,201,381,141,19
36,2022/04/29,202,384,143,19
37,2022/05/05,203,386,145,19
38,2022/05/06,203,388,144,19
39,2022/05/13,203,397,145,19
40,2022/05/20,203,406,147,19
41,2022/05/27,207,417,147,19
42,2022/06/03,206,419,148,19
43,2022/06/08,209,420,150,19
44,2022/06/09,212,420,152,19
45,2022/06/10,212,421,152,19
46,2022/06/11,212,421,152,19
47,2022/06/12,212,422,152,19
48,2022/06/13,212,422,152,19
49,2022/06/14,212,422,153,19
50,2022/06/15,213,423,153,19
51,2022/06/16,213,423,153,19
52,2022/06/17,214,424,153,19
53,2022/06/18,214,424,153,19
54,2022/06/19,214,425,153,19
55,2022/06/20,214,425,153,19
56,2022/06/21,214,425,153,19
57,2022/06/22,214,428,153,19
58,2022/06/23,215,432,153,19
59,2022/06/24,215,435,154,19
